Nome,Desconto,Preco,Ranking,Release,Ends,Started
Age of Wonders 4,-10%,"R$ 129,99",79.31%,May 2023,,
Mouthwashing,-10%,"R$ 37,79",94.12%,Sep 2024,,
Minishoot' Adventures,-10%,"R$ 29,99",93.92%,Apr 2024,,
UNDERDOGS,-10%,"R$ 51,61",92.45%,Jan 2024,,
STORY OF SEASONS: Friends of Mineral Town,-10%,"R$ 23,49",90.73%,Jul 2020,,
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,-10%,"R$ 4,99",90.62%,Sep 2011,,
Wall World,-10%,"R$ 5,09",89.14%,Apr 2023,,
Anger Foot,-10%,"R$ 51,79",88.94%,Jul 2024,,
Rune Factory 3 Special,-10%,"R$ 55,99",88.62%,Sep 2023,,
Syberia: The World Before,-10%,"R$ 21,80",87.12%,Mar 2022,,
Maniac,-10%,"R$ 11,04",87.11%,Mar 2024,,
Coffee Caravan,-10%,"R$ 28,86",86.48%,May 2024,,
Garfield Kart - Furious Racing,-10%,"R$ 2,79",85.71%,Nov 2019,,
Rising Storm 2: Vietnam,-10%,"R$ 2,29",85.31%,May 2017,,
Ratopia,-10%,"R$ 44,99",84.66%,Nov 2023,,
Rune Factory 4 Special,-10%,"R$ 35,99",83.93%,Dec 2021,,
Swords and Sandals Immortals,-10%,"R$ 13,19",81.78%,Mar 2023,,
STORY OF SEASONS: Pioneers of Olive Town,-10%,"R$ 55,99",80.49%,Sep 2021,,
Resident Evil 4,-10%,"R$ 84,50",96.30%,Mar 2023,,
shapez 2,-10%,"R$ 41,24",95.09%,Aug 2024,,
Ghost Trick: Phantom Detective,-10%,"R$ 64,50",94.05%,Jun 2023,,
候鸟,-10%,"R$ 11,39",93.73%,Jan 2023,,
The Legend of Heroes: Trails in the Sky SC,-10%,"R$ 45,49",93.68%,Oct 2015,,
月に寄りそう乙女の作法,-10%,"R$ 43,02",93.49%,Jun 2022,,
Insomnia: Theater in the Head,-10%,"R$ 6,46",92.88%,Dec 2022,,
"Little Kitty, Big City",-10%,"R$ 51,79",92.65%,May 2024,,
Disco Elysium - The Final Cut,-10%,"R$ 18,87",91.89%,Oct 2019,,
BZZZT,-10%,"R$ 7,99",91.72%,Nov 2023,,
The Legend of Heroes: Trails of Cold Steel,-10%,"R$ 36,49",91.51%,Aug 2017,,
Battle Chef Brigade Deluxe,-10%,"R$ 5,69",91.46%,Nov 2017,,
SENRAN KAGURA ESTIVAL VERSUS,-10%,"R$ 17,39",91.09%,Mar 2017,,
SENRAN KAGURA SHINOVI VERSUS,-10%,"R$ 15,19",91.09%,Jun 2016,,
The Legend of Heroes: Trails in the Sky,-10%,"R$ 18,49",90.86%,Jul 2014,,
突然＊恋人,-10%,"R$ 62,29",90.81%,Apr 2024,,
Who's Lila?,-10%,"R$ 12,44",90.69%,Feb 2022,,
Otome Riron to Sono Shuuhen -École de Paris-,-10%,"R$ 72,35",90.23%,Dec 2023,,
Iron Meat,-10%,"R$ 47,99",90.14%,Sep 2024,,
Jusant,-10%,"R$ 52,49",90.05%,Oct 2023,,
The Legend of Heroes: Trails of Cold Steel II,-10%,"R$ 36,49",89.71%,Feb 2018,,
The Legend of Heroes: Trails in the Sky the 3rd,-10%,"R$ 41,99",89.71%,May 2017,,
Fate/EXTELLA LINK,-10%,"R$ 28,19",89.61%,Mar 2019,,
Kill The Crows,-10%,"R$ 10,19",89.57%,Aug 2023,,
The Operator,-10%,"R$ 37,81",89.56%,Jul 2024,,
Ys Origin,-10%,"R$ 9,24",89.52%,May 2012,,
We Were Here Expeditions: The FriendShip,-10%,"R$ 6,89",89.38%,Sep 2023,,
We Were Here Forever,-10%,"R$ 27,49",89.32%,May 2022,,
Venba,-10%,"R$ 23,49",89.31%,Jul 2023,,
Shawarma Legend,-10%,"R$ 12,67",89.02%,Jul 2024,,
Sakuna: Of Rice and Ruin,-10%,"R$ 37,74",89.00%,Nov 2020,,
Metro 2033 Redux,-10%,"R$ 9,90",88.96%,Aug 2014,,
SENRAN KAGURA Burst Re:Newal,-10%,"R$ 17,39",88.95%,Jan 2019,,
Metro: Last Light Redux,-10%,"R$ 9,90",88.80%,Aug 2014,,
Game Of Fate,-10%,"R$ 50,20",88.38%,Oct 2024,,
Metro Exodus,-10%,"R$ 14,90",88.35%,Feb 2019,,
Touhou: Scarlet Curiosity,-10%,"R$ 8,69",88.17%,Jul 2018,,
Fate/EXTELLA,-10%,"R$ 26,42",87.78%,Jul 2017,,
Backpack Battles,-10%,"R$ 33,59",87.41%,Mar 2024,,
SENRAN KAGURA Bon Appétit! - Full Course,-10%,"R$ 9,49",87.37%,Nov 2016,,
Potionomics,-10%,"R$ 37,99",87.36%,Oct 2022,,
Corpse Party (2021),-10%,"R$ 34,39",87.26%,Oct 2021,,
Torn Away,-10%,"R$ 28,19",87.21%,Sep 2023,,
Ys: Memories of Celceta,-10%,"R$ 28,49",87.13%,Jul 2018,,
Apollo Justice: Ace Attorney Trilogy,-10%,"R$ 127,80",87.11%,Jan 2024,,
METAL SLUG 3,-10%,"R$ 2,99",87.08%,Feb 2014,,
"Cook, Serve, Delicious! 3?!",-10%,"R$ 7,59",87.06%,Oct 2020,,
Xanadu Next,-10%,"R$ 8,69",87.06%,Nov 2016,,
Zwei: The Ilvard Insurrection,-10%,"R$ 15,19",87.05%,Oct 2017,,
BioShock® 2,-10%,"R$ 4,49",87.04%,Feb 2010,,
Ys SEVEN,-10%,"R$ 27,59",86.93%,Aug 2017,,
"Good Pizza, Great Pizza - Cooking Simulator Game",-10%,"R$ 14,00",86.88%,Jan 2023,,
Train Valley 2,-10%,"R$ 7,24",86.40%,Apr 2019,,
METAL SLUG,-10%,"R$ 3,19",86.14%,Jun 2015,,
Tavern Talk,-10%,"R$ 43,99",86.08%,Jun 2024,,
Vanity Fair: The Pursuit,-10%,"R$ 24,75",85.57%,Feb 2024,,
River Town Factory,-10%,"R$ 31,48",85.35%,Feb 2024,,
Nitroplus Blasterz: Heroines Infinite Duel,-10%,"R$ 9,49",85.33%,Dec 2016,,
Lost Castle / 失落城堡,-10%,"R$ 7,99",85.25%,Sep 2016,,
EVERSPACE™ 2,-10%,"R$ 55,99",85.15%,Apr 2023,,
Ys VI: The Ark of Napishtim,-10%,"R$ 9,24",85.05%,Apr 2015,,
METAL SLUG X,-10%,"R$ 3,19",85.03%,Oct 2014,,
"Magical Mic Duel: Senpai, Hear My Spell",-10%,"R$ 11,75",84.90%,May 2024,,
Enshrouded,-10%,"R$ 71,99",84.52%,Jan 2024,,
Tavern Manager Simulator 🍻,-10%,"R$ 31,99",84.22%,Aug 2024,,
Monster Hunter Stories,-10%,"R$ 103,20",83.69%,Jun 2024,,
Portal Dungeon,-10%,"R$ 30,54",83.45%,Jul 2023,,
METAL SLUG 2,-10%,"R$ 2,79",83.37%,Apr 2016,,
STAR WARS™: Bounty Hunter™,-10%,"R$ 44,99",83.10%,Aug 2024,,
Chef RPG,-10%,"R$ 53,99",82.97%,Sep 2024,,
Six Days in Fallujah,-10%,"R$ 80,99",82.02%,Jun 2023,,
Chef Life: A Restaurant Simulator,-10%,"R$ 26,69",81.73%,Feb 2023,,
A Perfect Day,-10%,"R$ 35,39",81.26%,Feb 2022,,
The Lord of the Rings: Return to Moria™,-10%,"R$ 49,57",78.74%,Aug 2024,,
ICARUS,-10%,"R$ 50,99",70.09%,Dec 2021,,
Resident Evil 2,-10%,"R$ 34,97",95.70%,Jan 2019,,
Phoenix Wright: Ace Attorney Trilogy,-10%,"R$ 23,09",95.59%,Apr 2019,,
Lost in Play,-10%,"R$ 20,00",94.76%,Aug 2022,,
LIZARDS MUST DIE,-10%,"R$ 3,49",94.60%,Sep 2023,,
Aokana - Four Rhythms Across the Blue - EXTRA2,-10%,"R$ 54,01",94.27%,Dec 2022,,
Resident Evil Village,-10%,"R$ 55,96",94.24%,May 2021,,
Epiphyllum in Love,-10%,"R$ 7,20",93.82%,Mar 2020,,
Total War: MEDIEVAL II – Definitive Edition,-45%,"R$ 21,24",93.72%,Nov 2006,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Frog Detective 3: Corruption at Cowboy County,-45%,"R$ 9,34",93.65%,Oct 2022,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Game Dev Tycoon,-45%,"R$ 7,49",93.50%,Aug 2013,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
PlateUp!,-45%,"R$ 20,39",93.10%,Aug 2022,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Against the Storm,-45%,"R$ 34,99",92.94%,Dec 2023,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Anomaly Agent,-45%,"R$ 14,99",92.91%,Jan 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
CATO: Buttered Cat,-45%,"R$ 32,21",92.88%,Sep 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Snufkin: Melody of Moominvalley,-45%,"R$ 47,99",92.83%,Mar 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Coffee Talk Episode 2: Hibiscus & Butterfly,-45%,"R$ 32,89",92.70%,Apr 2023,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Minds Beneath Us,-45%,"R$ 53,99",92.23%,Jul 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
恋爱绮谭 不存在的真相,-45%,"R$ 18,68",92.01%,Oct 2022,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Tetris® Effect: Connected,-45%,"R$ 37,74",91.99%,Aug 2021,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Empires of the Undergrowth,-45%,"R$ 34,99",91.83%,Jun 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
小白兔电商~Bunny e-Shop,-45%,"R$ 18,75",91.68%,Nov 2021,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Bagel Love Story,-45%,"R$ 12,41",91.67%,May 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Resident Evil 4 (2005),-45%,"R$ 9,99",91.63%,Feb 2014,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Draw Puzzle 画之谜,-45%,"R$ 3,67",91.52%,Aug 2017,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Dystopika,-45%,"R$ 18,80",91.50%,Jun 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Arco,-45%,"R$ 40,00",91.44%,Aug 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
The Great Ace Attorney Chronicles,-45%,"R$ 47,99",91.20%,Jul 2021,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Cyber Manhunt,-45%,"R$ 21,99",91.17%,Feb 2021,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Our Adventurer Guild,-45%,"R$ 32,89",91.14%,Apr 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
恋爱绮谭~不存在的夏天~,-45%,"R$ 9,29",91.12%,Oct 2020,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Islets,-45%,"R$ 29,99",90.72%,Aug 2022,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Word Game,-45%,"R$ 52,79",90.58%,Jan 2022,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Cross Princess,-45%,"R$ 6,81",90.33%,Sep 2020,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Short Stories Collection of Class Tangerine,-45%,"R$ 6,39",90.26%,Sep 2017,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Golden Treasure: The Great Green,-45%,"R$ 18,99",89.92%,Jun 2019,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Weird RPG,-45%,"R$ 11,39",89.70%,Oct 2022,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Ten Trials of Babel: The Doppelganger Maze,-45%,"R$ 9,00",89.63%,Mar 2022,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Ys: The Oath in Felghana,-45%,"R$ 8,39",89.58%,Mar 2012,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
My Vow to My Liege,-45%,"R$ 12,41",89.51%,Sep 2020,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Galaxy Burger,-45%,"R$ 28,79",89.49%,Aug 2024,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Xuan-Yuan Sword: The Scar of Sky,-45%,"R$ 19,50",89.46%,Aug 2021,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
Pizza Possum,-45%,"R$ 14,10",89.37%,Sep 2023,"18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3","18 November 2024 at 18:00:00 UTC
18 November 2024 at 15:00:00 GMT-3"
